id,nemo,descipcion,agrupacion,tipo_agente,fecha_proceso,lote_id_log
151225,CTCURUGG,CT CONC.DEL URUGUAY - EMGASUD,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151226,CTDIQUEG,CENTRAL DIQUE S.A.,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151227,CTDOCKSG,CENTRAL DOCK SUD,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151228,CTDODSCN,CENTRAL DOCK SUD S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151229,CTDOLORG,CT DOLORES - ENARSA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151230,CTELDORG,CT EL DORADO - ENARSA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151231,CTFORMAG,CT FORMOSA - APR ENERGY,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151232,CTFRIASG,GENERACION FRIAS S.A.,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151233,CTGESELG,CT VILLA GESELL-CATLANT.,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151234,CTGOYASG,CT GOYA - SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151235,CTGUEMEG,C.TERMICA GUEMES S.A.,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151236,CTGVILAG,CT GRAL. VILLEGAS - AGGREKO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151237,CTINTASG,CT INTA CATAMARCA - SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151238,CTIROLXS,COOP.ELEC. COLONIA TIROLESA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151239,CTISINXS,COOP.ELEC.TICINO,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151240,CTISLAAG,CT ISLA VERDE - AGGREKO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151241,CTITATTG,CT ITATI - TURBODISEL,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151242,CTJUARSG,CT ING JUAREZ - SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151243,CTJUNISG,CT JUNIN,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151244,CTLAPAZG,CT LA PAZ Entre Rios - ENARSA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151245,CTLAPLSG,CT LA PLATA - SULLAIR,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151246,CTLARISG,CT LA RIOJA - SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151247,CTLARM2G,CT LAS ARMAS II - EMGASUD,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151248,CTLARMAG,CT LAS ARMAS - EMGASUD,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151249,CTLARSSG,CT LA RIOJA SUR- SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151250,CTLBLASG,CT LAGUNA BLANCA - SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151251,CTLIBESG,CT LIBERTADOR GSM - SULLAIR,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151252,CTLINCSG,CT LINCOLN,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151253,CTLOBOSG,CT LOBOS BS.AS - SULLAIR,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151254,CTLPALTG,CT LAS PALMAS -TURBODISEL,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151255,CTMAGAPG,CT MAGDALENA - APR ENERGY,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151256,CTMATHEG,CT MATHEU - EMGASUD,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151257,CTMEDANG,C.MEDANITOS-RINCON SAUCES,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151258,CTMENPLG,C. TERMICAS MENDOZA PLUS,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151259,CTMENZAC,C T MENDOZA COGENERADOR,GENERACIÓN,Cogenerador,2020-05-05 11:08:14.531913,67
151260,CTMENZAG,C. TERMICAS MENDOZA SA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151261,CTMERTIT,COMP. DE TRANSM. MERCOSUR TI,,Transportista Independiente,2020-05-05 11:08:14.531913,67
151262,CTMIRMEG,CT MIRAMAR I - ENERGYST,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151263,CTMOVILG,CT MOVILES - ENARSA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151264,CTMSALGG,CTM SALTO GRANDE,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151265,CTMSALGT,CTM-AE-FTT,TRANSPORTE,Transportista PAFT-R159/94 AII,2020-05-05 11:08:14.531913,67
151266,CTMSUBAG,MSU BIOENERGY S.A. BARRANQUERA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151267,CTNPOMAG,CT NUEVA POMPEYA - AGGREKO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151268,CTOLAVAG,CT OLAVARRIA - EMGASUD,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151269,CTOLEDXS,COOP. DE OYSPPCCYV DE TOLEDO,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151270,CTORANSG,CT ORAN - SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151271,CTORDIXS,COOP. ELEC. LA TORDILLA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151272,CTORNQ2S,C. ELECT. LTDA. DE TORNQUIST,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151273,CTORTUSS,Cooperativa de TORTUGAS,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151274,CTOSCASS,Cooperativa de LAS TOSCAS,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151275,CTPALMAG,CT PALMAR LARGO - APR ENERGY,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151276,CTPARANG,CT PARANA - EMGASUD,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151277,CTPATAGG,C.T. PATAGONICAS SA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151278,CTPATAGS,C.T. PATAGONICAS SA-PAFTT GUME,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151279,CTPATRTG,CT PASO LA PATRIA-TURBODISEL,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151280,CTPILARG,CT PILAR - EPEC,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151281,CTPINAMG,CT PINAMAR - EMGASUD,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151282,CTPINDSG,CT PARQUE INDUSTR.CATAM-SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151283,CTPIQUIG,CENTRAL TERMICA PIQUIRENDA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151284,CTPIRASG,CT PIRANE - SULLAIR,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151285,CTPROCAG,CT PRESIDENCIA ROCA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151286,CTRAFASG,CT RAFAELA - SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151287,CTRANSXS,COOP. ELEC. TRANSITO,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151288,CTREALSG,CT REALICO - SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151289,CTREJOXS,COOP.ELEC.OBISPO TREJO,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151290,CTRELEDC,COOP. TRELEW C/O DE GUDI,,Comercializador de Demanda,2020-05-05 11:08:14.531913,67
151291,CTRELEUW,COOP. TRELEW,DISTRIBUCIÓN,Cooperativa,2020-05-05 11:08:14.531913,67
151292,CTRENELS,C.ELE.y Serv.Pub. C y A Trenel,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151293,CTRIOTUG,CT RIO TURBIO -Yac.Carbonifero,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151294,CTRLAU1W,COOP. TRENQUE LAUQUEN,DISTRIBUCIÓN,Cooperativa,2020-05-05 11:08:14.531913,67
151295,CTRLAUDC,COOP.TRENQ.LAUQUEN C/O DE GUDI,,Comercializador de Demanda,2020-05-05 11:08:14.531913,67
151296,CTROCARG,CT ROCA SA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151297,CTRUFING,CT RUFINO Sta Fe - ENARSA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151298,CTSAE2AG,CT SAENZ PEÑA II- AGGREKO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151299,CTSAENAG,CT SAENZ PEÑA - APR ENERGY,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151300,CTSALTAG,CT SALTA - ENARSA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151301,CTSAMING,CT SAN MIGUEL NORTE III-ENARSA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151302,CTSANVIG,CT SAN VICENTE BsAs - ENARSA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151303,CTSMARTG,CT SAN MARTIN Chaco,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151304,CTSMNO3G,C.T.SAN MARTIN NORTE 3- ENARSA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151305,CTSNICOG,C.TERMICA SAN NICOLAS,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151306,CTSORREG,C.TERMICA SORRENTO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151307,CTSROSTG,CT SANTA ROSA -TURBODISEL,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151308,CTSSALVG,CT SAN SALVADOR E.Rios -ENARSA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151309,CTTERESG,CT TEREVINTOS - SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151310,CTTINOSG,CT TINOGASTA - SULLAIR,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151311,CTTRELEG,CT TRELEW - ENARSA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151312,CTULUMXS,COOP.ELEC.TULUMBA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151313,CTUNUYMS,C.SUD R.TUNUYAN RIVADAVIA LTDA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151314,CTVANGAG,CT VILLA ANGELA - AGGREKO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151315,CTVIALAG,CT VIALE - AGGREKO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151316,CTVOBLIG,CT VUELTA DE OBLIGADO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151317,CTVREGAG,CT VILLA REGINA - AGGREKO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151318,CTVTUESG,CT VENADO TUERTO - SECCO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151319,CUARLTSY,CURTIEMBRE ARLEI - LAS TOSCAS,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
151320,CUAVAVCN,AVELLANEDA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151321,CUCACHXS,COOP.ELEC.UCACHA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151322,CUFERRXS,COOP.DE URBAN.OYS P. P.I.FERR.,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151323,CUNIONHS,COOP. LA UNION,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151324,CURQUI1S,C.ELECTRICA LTDA. DE URQUIZA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151325,CURTROAN,CURTIEMBRE ARLEI S.A. - SALTA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151326,CVALERXS,COOP.ELEC.VILLA VALERIA.,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151327,CVAMELSS,C. Y SERV PUBL VILLA AMELIA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151328,CVARASXS,COOP. ELEC. LAS VARAS,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151329,CVARILXS,COOP. ELEC. LAS VARILLAS,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151330,CVASCAXS,COOP.ELEC.VILLA ASCASUBI,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151331,CVDDIQXS,COOP.ELEC.VILLA DEL DIQUE,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151332,CVELEZXS,COOP.ELEC.DALMACIO VELEZ,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151333,CVENADSS,COOP.LTDA.CONS.VENADO TUERTO,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151334,CVEPINSS,COOP. VERA Y PINTADO,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151335,CVERDEXS,COOP. ELEC. ISLA VERDE,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151336,CVERTIXS,COOP.ELEC.VERTIENTES,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151337,CVFONTXS,COOP. ELEC. VILLA FONTANA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151338,CVGALVSS,COOP VILLA GOB GALVEZ,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151339,CVHUIDLS,C. Eléctrica de Villa Huidobro,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151340,CVIAMOXS,COOP.ELEC.GRAL.VIAMONTE,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151341,CVICTOLS,C.Elect. C.y S.P.Victorica,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151342,CVIENTOG,HIDR.CUESTA DEL VIENTO - EPSE,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
151343,CVIGUAES,C.SERV.PUB VILLAGUAY LTDA.,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151344,CVILSA1S,C. ELECT. DE VILLA SAUZE LTDA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151345,CVIOLE1S,C.ELECT. LTDA DE LA VIOLETA.,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151346,CVIRASNS,C.Serv Pcos Gob Virasoro Ltda,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151347,CVIRIS2S,Cooperativa de VILLA IRIS,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151348,CVLIAL1S,COOP.DE VILLA LIA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151349,CVROSAXS,COOPERATIVA VILLA DEL ROSARIO,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151350,CVRUIZ1S,Cooperativa de VILLA RUIZ,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151351,CVRUMIXS,COOP.ELEC.VILLA RUMIPAL,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151352,CVYPINSS,Cooperativa de LA CAMILA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151353,CWHEELSS,COOP. DE WHEELWRIGHT LTDA.,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151354,CWINIFLS,C.ELE. y Serv.Pub. Winifreda,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151355,CYACANXS,COOP.ELEC.VILLA YACANTO,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151356,CZAPALQS,COOP.PROV.ENER.ELEC.DE ZAPALA,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151357,CZARAT1W,COOP. ZARATE BS. AS.,DISTRIBUCIÓN,Cooperativa,2020-05-05 11:08:14.531913,67
151358,CZARATDC,COOP. ZARATE POR C/O DE GUDI,,Comercializador de Demanda,2020-05-05 11:08:14.531913,67
151359,CZNCCA1S,Cooperativa CARLOS CASARES,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151360,CZORROXS,COOP.ELEC.LOS ZORROS,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151361,CZSMAY1S,Cooperativa de P. 25 MAYO,DISTRIBUCIÓN,PAFTT No Agente - Res SE123/95,2020-05-05 11:08:14.531913,67
151362,DACOBRCN,DA COSTA - D.ROCHA Y 7,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151363,DACOBZCN,DA COSTA - CALLE 102,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151364,DACOELCN,DA COSTA - R.36 Y R.2 EL PATO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151365,DACOFCCN,DACOMAT - F. VARELA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151366,DACOFLCN,DA COSTA - SENZABELLO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151367,DAIMCS1P,DAIMO BOJANICH Y CIA. S.R.L.,GRANDES USUARIOS,Gran Usuario Particular (GUPA),2020-05-05 11:08:14.531913,67
151368,DAKAZA1Z,DAK AMERICAS ARG.- EX EACHZA1Z,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
151369,DAKO3FON,METALURGICA DAKOT S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151370,DANNSLJN,D ANNA GROUP,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151371,DANOLOCY,DANONE S.A.-EX LACT.LONGCHAMPS,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
151372,DANORA3N,DANONE HNOS. S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151373,DARTPION,DART SUDAMERICANA SA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151374,DECSASDC,DIST.ELECT CAUCETE C/O DE GUDI,,Comercializador de Demanda,2020-05-05 11:08:14.531913,67
151375,DECSASJW,DIST. ELECTRICA DE CAUCETE,DISTRIBUCIÓN,Cooperativa,2020-05-05 11:08:14.531913,67
151376,DEGEQOCN,DEGEDE - LAMADRID,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151377,DELLVMDN,DELLEPIANE SAN LUIS,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151378,DELTGRON,DELTACAR EX GUERRA JUAN ANGEL,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151379,DEMALMOY,FUNDICIONES SAN JUSTO SA,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
151380,DEMAP2OY,FUNDICIONES SAN JUSTO SA POmbu,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
151381,DENVESON,DENVER FARMA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151382,DERIPAMN,DERIVADOS VINICOS,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151383,DESAMAMN,DESARROLLOS MAIPU,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151384,DGSPCHDC,DGSP CHUBUT-COIHUE C/O DE GUDI,,Comercializador de Demanda,2020-05-05 11:08:14.531913,67
151385,DGSPCHUD,DGSP Chubut,DISTRIBUCIÓN,Distribuidor,2020-05-05 11:08:14.531913,67
151386,DGSPCHUT,DGSP PRESTADOR FTT,TRANSPORTE,Transportista PAFT-R159/94 AII,2020-05-05 11:08:14.531913,67
151387,DIAAVLON,DEPÓSITO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151388,DIAGGCMN,MENDOZA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151389,DIAS55DN,DIASER S.A.I. - 55KW.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151390,DIASJKDN,DIASER S.A.I. - 106 KW.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151391,DIASPIDN,PARQUE INDUSTRIAL,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151392,DIFEALCN,DIFEL - R.E. DE SAN MARTIN,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151393,DILEALJN,DILEXIS S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151394,DIMEJUCN,DIAGNOSTICO MEDICO S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151395,DINPPOJN,DINPE SA. POCITO-S.JUAN,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151396,DIREMUON,DIRECTV ARGENTINA S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151397,DISAVIDN,TERSUAVE S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151398,DISPACCN,DISPROFARMA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151399,DISTROCT,DISTRO CUYO S.A.,TRANSPORTE,Transportista Distrib. Troncal,2020-05-05 11:08:14.531913,67
151400,DNISCOXY,DANISCO ARG. - EX GENENCOR,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
151401,DOCCEMLC,D.SUD POR CEMSA MERCADO LOCAL,,Comercializador de Generacion,2020-05-05 11:08:14.531913,67
151402,DOCCEMXC,CEMSA POR DOCK SUD UTE,,Comercializador de Generacion,2020-05-05 11:08:14.531913,67
151403,DOCCESLC,CEMSA POR D.SUD M.LOCAL S/RESP,,Comercializador de Generacion,2020-05-05 11:08:14.531913,67
151404,DOCPOWLC,POWERCO POR DOCK SUD M.LOCAL,,Comercializador de Generacion,2020-05-05 11:08:14.531913,67
151405,DOMEBOCN,DOMEC- BERNAL OESTE,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151406,DOMIM5IN,D.GONZALEZ - BERISSO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151407,DONR10JN,DON ROBERTO S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151408,DONTBD1N,DONTO - BARADERO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151409,DONTBECN,DONTO - DON TORCUATO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151410,DONTDTON,DONTO - FRIAS - TAPICERIA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151411,DOSABADN,DOS ANCLAS BALDE-S.LUIS,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151412,DOSAGAON,DOSAM S.R.L. (CTRO.IND.GARIN),GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151413,DOWARC1N,DOW AGROSCIENCES ARG,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151414,DOWAVTSN,DOW AGROSCIENCES S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151415,DOWQSLSY,DOW QUIMICA - Pta. San Lorenzo,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
151416,DPC-FTWT,DPE CORRIENTES PAFTT,TRANSPORTE,Transportista PAFT-R159/94 AII,2020-05-05 11:08:14.531913,67
151417,DPCORRDC,DPE CORRIENTES C/O DE GUDI,,Comercializador de Demanda,2020-05-05 11:08:14.531913,67
151418,DPCORRWD,DPE CORRIENTES,DISTRIBUCIÓN,Distribuidor,2020-05-05 11:08:14.531913,67
151419,DPCORRWT,DPE CORRIENTES TRANSP. INDEP.,,Transportista Independiente,2020-05-05 11:08:14.531913,67
151420,DPLACFCN,CONS.COPROPROP.DOCK DEL PLATA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151421,DPSCRKCN,DEL PARQUE SHOPPING CR 42997-K,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151422,DROGTOCN,DROGUERIA DEL SUD,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151423,DUKEISDC,DUKE ENERGY INT.SOUTH.CONE SRL,,Comercializador de Demanda,2020-05-05 11:08:14.531913,67
151424,DUKEISGC,DUKE ENERGY INT.SOUTH.CONE SRL,,Comercializador de Generacion,2020-05-05 11:08:14.531913,67
151425,DUNLMOON,DUNLOP,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151426,DVAESLDN,DEL VALLE II MITRE Y ESPAÑA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
151427,DVCOCAKN,DEL VALLE COMUNICACIONES S.R.L,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
